ID,DATE,DATA
1,Wed May 29 14:29:57 JST 2019,3",805
2,Wed May 29 14:28:56 JST 2019,3",795
3,Tue May 28 13:51:55 JST 2019,3",790
4,Tue May 28 11:25:28 JST 2019,3",815
5,Tue May 28 11:03:28 JST 2019,3",830
6,Tue May 28 11:00:33 JST 2019,3",840
7,Tue May 28 10:58:00 JST 2019,3",835
8,Tue May 28 10:56:01 JST 2019,3",845
9,Tue May 28 10:35:59 JST 2019,3",855
10,Tue May 28 10:32:59 JST 2019,3",850
11,Tue May 28 10:05:05 JST 2019,3",830
12,Tue May 28 09:38:43 JST 2019,3",805
13,Tue May 28 09:37:41 JST 2019,3",785
14,Mon May 27 14:44:51 JST 2019,3",685
15,Mon May 27 14:39:47 JST 2019,3",690
16,Mon May 27 14:38:44 JST 2019,3",680
17,Mon May 27 14:37:44 JST 2019,3",680
18,Mon May 27 14:36:43 JST 2019,3",675
19,Mon May 27 14:35:42 JST 2019,3",675
20,Mon May 27 14:34:41 JST 2019,3",675
21,Mon May 27 14:24:47 JST 2019,3",670
22,Mon May 27 13:50:03 JST 2019,3",675
23,Mon May 27 13:49:01 JST 2019,3",680
24,Mon May 27 13:48:00 JST 2019,3",680
25,Mon May 27 13:25:46 JST 2019,3",705
26,Mon May 27 13:24:45 JST 2019,3",700
27,Mon May 27 11:12:26 JST 2019,3",655
28,Mon May 27 11:11:26 JST 2019,3",675
29,Mon May 27 11:10:26 JST 2019,3",680
30,Mon May 27 11:09:26 JST 2019,3",670
31,Mon May 27 11:08:25 JST 2019,3",680
32,Mon May 27 11:07:25 JST 2019,3",670
33,Mon May 27 11:06:25 JST 2019,3",670
34,Mon May 27 11:05:24 JST 2019,3",665
35,Mon May 27 11:04:24 JST 2019,3",670
36,Mon May 27 11:03:24 JST 2019,3",670
37,Mon May 27 11:02:23 JST 2019,3",670
38,Mon May 27 11:01:23 JST 2019,3",670
39,Mon May 27 11:00:23 JST 2019,3",670
40,Mon May 27 10:59:22 JST 2019,3",670
41,Mon May 27 10:58:22 JST 2019,3",670
42,Mon May 27 10:57:22 JST 2019,3",660
43,Mon May 27 10:56:21 JST 2019,3",660
44,Mon May 27 10:55:21 JST 2019,3",660
45,Mon May 27 10:54:21 JST 2019,3",665
46,Mon May 27 10:53:20 JST 2019,3",680
47,Sat May 25 04:32:58 JST 2019,3",670
48,Sat May 25 04:31:53 JST 2019,3",670
49,Sat May 25 04:30:48 JST 2019,3",670
50,Sat May 25 04:29:46 JST 2019,3",670
51,Sat May 25 04:28:36 JST 2019,3",670
52,Sat May 25 04:27:35 JST 2019,3",670
53,Sat May 25 04:26:29 JST 2019,3",670
54,Sat May 25 04:25:24 JST 2019,3",670
55,Sat May 25 04:24:24 JST 2019,3",670
56,Sat May 25 04:23:18 JST 2019,3",670
57,Sat May 25 04:22:18 JST 2019,3",670
58,Sat May 25 04:21:16 JST 2019,3",670
59,Sat May 25 04:20:11 JST 2019,3",670
60,Sat May 25 04:19:09 JST 2019,3",670
61,Sat May 25 04:18:04 JST 2019,3",670
62,Sat May 25 04:17:03 JST 2019,3",670
63,Sat May 25 04:15:57 JST 2019,3",670
64,Sat May 25 04:14:57 JST 2019,3",670
65,Sat May 25 04:13:54 JST 2019,3",670
66,Sat May 25 04:12:52 JST 2019,3",670
67,Sat May 25 04:11:52 JST 2019,3",670
68,Sat May 25 04:10:50 JST 2019,3",670
69,Sat May 25 04:09:49 JST 2019,3",670
70,Sat May 25 04:08:48 JST 2019,3",670
71,Sat May 25 04:07:43 JST 2019,3",670
72,Sat May 25 04:06:38 JST 2019,3",670
73,Sat May 25 04:05:36 JST 2019,3",670
74,Sat May 25 04:04:35 JST 2019,3",670
75,Sat May 25 04:03:34 JST 2019,3",670
76,Sat May 25 04:02:32 JST 2019,3",670
77,Sat May 25 04:01:28 JST 2019,3",670
78,Sat May 25 04:00:23 JST 2019,3",670
79,Sat May 25 03:59:22 JST 2019,3",670
80,Sat May 25 03:58:21 JST 2019,3",670
81,Sat May 25 03:57:16 JST 2019,3",670
82,Sat May 25 03:56:13 JST 2019,3",670
83,Sat May 25 03:55:13 JST 2019,3",670
84,Sat May 25 03:54:12 JST 2019,3",670
85,Sat May 25 03:53:10 JST 2019,3",670
86,Sat May 25 03:52:05 JST 2019,3",670
87,Sat May 25 03:51:03 JST 2019,3",670
88,Sat May 25 03:50:02 JST 2019,3",670
89,Sat May 25 03:49:00 JST 2019,3",670
90,Sat May 25 03:48:00 JST 2019,3",670
91,Sat May 25 03:46:59 JST 2019,3",670
92,Sat May 25 03:45:54 JST 2019,3",670
93,Sat May 25 03:44:54 JST 2019,3",670
94,Sat May 25 03:43:52 JST 2019,3",670
95,Sat May 25 03:42:46 JST 2019,3",670
96,Sat May 25 03:41:44 JST 2019,3",670
97,Sat May 25 03:40:44 JST 2019,3",670
